adult,gender,id,known_for_department,name,original_name,popularity,profile_path,credit_id,department,job,movie_id
False,2,220997,Directing,James Griffiths,James Griffiths,1.042,,57e05ad6c3a3681f02000b44,Directing,Director,201086
False,0,1325732,Writing,Manuela Tempesta,Manuela Tempesta,0.055,,538780b0c3a3681ae30033c6,Directing,Director,272731
False,2,2163,Writing,Richard LaGravenese,Richard LaGravenese,5.238,/vCXgeY2gJXSSGTm9cy71268wGx5.jpg,52fe4d1ac3a368484e1d7395,Directing,Director,206296
False,2,591600,Directing,Damián Szifron,Damián Szifron,2.415,/zCC1SUcjoDuJui9qgFjJIgr6kDq.jpg,54463243c3a368369100184c,Directing,Director,265195
False,2,1305360,Directing,Alonso Ruizpalacios,Alonso Ruizpalacios,0.694,/aCBWcK4P3yCmovYUVZ9Pcl8RhUP.jpg,5c1c0e0a0e0a265f7856ac6b,Directing,Director,256057
False,0,1300689,Writing,P. Ramesh,P. Ramesh,0.001,,5321ab77c3a368572500329d,Directing,Director,257423
False,2,68185,Acting,Eric Schaeffer,Eric Schaeffer,2.734,/rXuDlJrIaU7Sc01nCAe5faHfKGM.jpg,533fd38ec3a36830eb000de3,Directing,Director,263105
False,2,21960,Writing,Israel Horovitz,Israel Horovitz,3.153,/gdBabbtfrC5equJcAjdlfn4sKpd.jpg,540c08880e0a262b3d003b64,Directing,Director,282296
False,2,27449,Directing,Emilio Martínez Lázaro,Emilio Martínez Lázaro,1.078,,52fe4e5fc3a36847f828cb71,Directing,Director,236737
False,2,144476,Directing,Hiromasa Yonebayashi,米林宏昌,2.424,/bV0Xg5JHzTdcCDaLX7fKHn3gYH2.jpg,52fe4ed6c3a36847f82ab099,Directing,Director,242828
False,2,46588,Production,Bill Pohlad,Bill Pohlad,0.706,/iESQRcip0E1iL6d3iSqE6IY2yYI.jpg,538072f9c3a368059e004e3e,Directing,Director,271714
False,2,40541,Acting,Andrea Di Stefano,Andrea Di Stefano,1.627,/5IsVNodecG5p8bWuqKhLuNhX0Lm.jpg,52fe4ee69251416c91141a95,Directing,Director,255343
False,2,204553,Directing,Ethan Spaulding,Ethan Spaulding,4.631,/wLTbLnSJ1jnjA2YOHOPqz2g0XNe.jpg,537d37bb0e0a2624c3000064,Directing,Director,242643
False,2,105643,Directing,Jay Oliva,Jay Oliva,6.349,/y7EbnuoKFMvU7uZ4aD50jThyNoF.jpg,535195230e0a2656030019ff,Directing,Director,242643
False,2,1368971,Directing,Bobby Roe,Bobby Roe,1.071,/ldT7mnEImvnTkrbug9DHrUCV4gP.jpg,542abc2e0e0a26067e000a92,Directing,Director,293572
False,2,558860,Acting,David Zellner,David Zellner,0.787,/w2uBusvakUVhoeTCT0xDwoV9WJB.jpg,52fe4ef4c3a36847f82b3261,Directing,Director,244563
False,2,212240,Directing,Tom Harper,Tom Harper,5.312,/bt5yUl0oEPjSVwt8ZlFuQrxhv0Y.jpg,5412cf080e0a26731f0010ac,Directing,Director,288158
False,2,6521,Directing,Alberto Rodríguez,Alberto Rodríguez,2.862,/8I9Idvbad8P2lP2fuH5IOJAuYMZ.jpg,54b7d356c3a3686c6b00286f,Directing,Director,236735
False,1,90,Directing,Isabel Coixet,Isabel Coixet,4.187,/s2Hspn17nOf6LIuVrULvV3OOiX0.jpg,53d7f24b0e0a260347002462,Directing,Director,284286
False,1,67360,Writing,Maya Forbes,Maya Forbes,2.728,/1q2X1PXFK1hpaf0GfCA5qyJPj01.jpg,52fe4ef3c3a36847f82b2fc5,Directing,Director,244539
False,0,212980,Acting,Kevin Finn,Kevin Finn,1.229,,52fe49609251416c750c6109,Directing,Director,94590
False,2,2671468,Acting,James D. Rolfe,James D. Rolfe,1.993,/9CXsSiClSlFK58b6IgULrsIrhtl.jpg,5f0fae9cd371970037a9cbb4,Directing,Director,94590
False,2,39012,Directing,Peter Bogdanovich,Peter Bogdanovich,4.701,/m3aMMYzzEbqKEwGOyEPq7Rt1gAj.jpg,52fe4f0cc3a36847f82b9d61,Directing,Director,245906
False,2,1358976,Directing,Nick Powell,Nick Powell,1.342,/1mwtLOSNtBFB0tK6T9xKGgdRP7u.jpg,54031564c3a3684363004abb,Directing,Director,289720
False,1,1278722,Directing,Trish Sie,Trish Sie,1.275,/wB8cnaVXGikYjoWhcyvcNf8wWi9.jpg,52fe4ee1c3a36847f82ae019,Directing,Director,243683
